CardNumber,Category,Tier,Prompt,Guidance,FlavourText,PairsWith
1,Infrastructure,Open,What's been the highlight of your week so far?,"Always opens. Warm up before going deeper.","The week's been fine. Define fine.",
2,Infrastructure,Working,What was most useful for you in this conversation?,"Always closes. Bungay Stanier's Learning Question. Don't skip it.","The post-meeting meeting is where the real meeting happens.",
3,Infrastructure,Working,Is there anything you want me to keep between us today?,"Surfaces sensitivity early. Useful before drawing any Deep card.","Confidential, in the sense that only six people know.",
4,Infrastructure,Working,"Three rules of play: silence after a question is fine. 'And what else?' follows every answer. Any card can be passed without explanation.","Read once at the start of a new pairing. The deck doesn't work without these.","Two of the three rules are usually observed. Pick two.",
5,Infrastructure,Working,Save this for next time?,"A token, not a card. Either party can defer any drawn card. Three tokens come with the box.","Action item: revisit at next 1:1. Outcome: revisited at the 1:1 after that.",
6,Working Together,Open,"Which of our communication channels is genuinely useful, and which is just noise?","Tactical. Quick way to streamline.","The team has fourteen Slack channels. Three are used. Two are weather-related.",7
7,Working Together,Open,"When in our meetings do you feel heard, and when do you feel like wallpaper?","Surfaces meeting dynamics. Listen for who interrupts, who repeats whom.","He'd been speaking for four minutes. He'd been on mute for five.",6
8,Working Together,Working,"If you could change one thing about our meetings, what would it be?","Co-create one small experiment. Don't promise more than one.","The agenda item AOB has, in human history, never produced any business.",7
9,Working Together,Working,"What's something I do in how I communicate that helps you, and something that doesn't?","Two-barrelled by design — the contrast is the point. Brace yourself.","She asked for clarity. He sent a fourteen-paragraph email titled Brief update.",10
10,Working Together,Working,Tell me about a recent moment when you felt out of step with the team. What was happening?,"Anchored in episode, not sentiment. Listen for the specific.","—I think I missed a meeting where everyone agreed on something.",9
11,Working Together,Working,Walk me through last Wednesday. Where did focus and collaboration actually fall? What would you change?,"Specific day produces texture self-summary cannot.","His calendar was 73% meetings about the work and 0% the work.",12
12,Working Together,Open,"When in your day do you do your sharpest thinking? When are you basically a houseplant?","Identify peak times; consider protecting them.","Productivity peaked at 9:47 a.m. The 10 a.m. standup ended it.",11
13,Working Together,Working,What would help quieter voices in our meetings get more airtime?,"Round-robin, async input, written first then spoken. One experiment is enough.","The five loudest people had reached consensus before anyone else had finished reading the agenda.",
14,Working Together,Open,What's one thing this team does well that we never bother saying out loud?,"Surface unspoken strengths.","Morale is high, in part because no one has time to check.",
15,Working Together,Working,What's an unwritten team norm you think we should rethink?,"Surface implicit rules. Decide whether to formalise or change.","We don't have a hierarchy, but we all know who to ask.",
16,Working Together,Deep,"Who in our wider team or org do you wish you knew better, and what would that change for you?","Identifies relational gaps. Light touch — pairing, lunch, project.","We were in adjacent Slack channels for two years.",
17,Working Together,Working,When was the last time you got stuck and didn't ask for help? What stopped you?,"Normalises asking. Listen for whether the blocker was workload, judgement, or unclear ownership.","She didn't want to bother anyone. Everyone, simultaneously, didn't want to bother her.",
18,Working Together,Working,Where in our team do you keep wishing the knowledge lived but doesn't?,"Identifies training, cross-training, or documentation gaps.","Tribal knowledge: the documentation that left when Brian did.",
19,Working Together,Working,Which team across the org would we get more done with if we collaborated better — and what's in the way?,"Strategic partnerships. Often a relationship problem dressed as a process problem.","Engineering and Marketing share a goal, a Slack channel, and absolutely no language.",
20,Working Together,Working,Tell me about a recent decision that affected you where you wished you'd had more context. What was missing?,"Surface decision-making gaps with a specific example, not a complaint.","We're an open organisation, so naturally the decision was made in a closed room.",
21,Working Together,Deep,Is there an argument the team keeps having in different costumes? What's it really about?,"Often the surface conflict is a proxy for something else: trust, status, decision rights.","Same disagreement, different sprint.",
22,Working Together,Open,"If your week were a cup, how full is it right now? What's overflowing first?","Surfaces overload without forcing complaint. Metaphor disarms.","She was operating at 110%. The other 10% was meetings about capacity planning.",23
23,Working Together,Working,What's a recent decision you made that you weren't sure you had the authority to make? How did you handle it?,"Surfaces unclear decision rights through behaviour, not theory.","It was easier to apologise than to find out who had to approve it.",22
